;sorted regionally and nationally
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     britons   - - -
;
rebel_type			Brigantes	//Britons
unit				steppe missile cavalry early yuezhi nobles
unit				steppe missile cavalry saka riders
unit				steppe missile cavalry saka horse archer
unit				steppe missile cavalry saka horse archer
unit                            steppe missile subeshi


rebel_type 			Haomavarga		// saka Dahyu_Haomavarga
category			peasant_revolt
chance				7
description			Haomavarga
unit				steppe missile cavalry saka riders
unit				steppe missile cavalry saka horse archer
unit				steppe missile cavalry saka horse archer
unit				eastern missile eransahr arshtbara merc
unit                            steppe missile subeshi

rebel_type 			Wusun		// saka Sai_Yavuga
category			peasant_revolt
chance				7
description			Wusun
unit				steppe missile cavalry saka riders
unit				steppe missile cavalry saka horse archer
unit				steppe missile cavalry saka horse archer
unit				steppe missile cavalry daha baexdzhyntae
unit                            steppe missile subeshi

rebel_type 			Maeot 	//Scythians Maeotis
category			peasant_revolt
chance				6
description			Maeot
unit				hellenistic infantry doryphoroi pontikoi
unit				hellenistic infantry doryphoroi pontikoi
unit				steppe missile cavalry skuda fat aexsdzhytae
unit				steppe missile cavalry skuda fat aexsdzhytae
unit                            steppe missile cavalry skuda baexdzhyntae
unit                            steppe missile scythianfootarchers
unit				steppe missile cavalry ragon sauromatae uaezdaettae

rebel_type 			Iskutae	//scythians Skythia
category			peasant_revolt
chance				7
description			Iskutae
unit				hellenistic infantry doryphoroi pontikoi
unit				hellenistic infantry doryphoroi pontikoi
unit				steppe missile cavalry skuda fat aexsdzhytae
unit				steppe missile cavalry skuda fat aexsdzhytae
unit				steppe missile cavalry skuda baexdzhyntae
unit                            steppe missile scythianfootarchers

rebel_type 			Parni		//Parthians Dahyu_Daha
category			peasant_revolt
chance				7
description			Parni
unit				steppe missile cavalry daha baexdzhyntae
unit				steppe missile cavalry daha baexdzhyntae
unit				steppe skirmisher cavalry daha rog baexdzhyn aefsad
unit				steppe skirmisher cavalry daha rog baexdzhyn aefsad
unit				eastern missile thanvare payahdag
unit				eastern missile thanvare payahdag

rebel_type 			Aorsii		// sarmatians Dahyu_Aursa
category			peasant_revolt
chance				7
description			Aorsii
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe infantry sauromatae arc aexsaeg
unit				steppe missile fistaegfataexsdzhytae


rebel_type 			Alan		//sarmatians Dahyu_Alanna
category			peasant_revolt
chance				7
description			Alan
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe missile fistaegfataexsdzhytae

rebel_type 			Iirkian	//sarmatians Dahyu_Yugra
category			peasant_revolt
chance				5
description			Iirkian
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe missile fistaegfataexsdzhytae
unit				steppe infantry voinu spearmen
unit				steppe missile cavalry ragon sauromatae uaezdaettae

rebel_type 			Rhoxolanii	//sarmatians Dahyu_Roxsalanna
category			peasant_revolt
chance				7
description			Rhoxolanii
unit				steppe missile cavalry rauxsa-alanna uaezdaettae
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe infantry sauromatae arc aexsaeg
unit				steppe missile fistaegfataexsdzhytae


rebel_type 			Iazyg		//sarmatians Dahyu_Yazyga
category			peasant_revolt
chance				7
description			Iazyg
unit				steppe infantry sauromatae arc aexsaeg
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe missile fistaegfataexsdzhytae


rebel_type 			Siracae		//sarmatians Dahyu_Siraca
category			peasant_revolt
chance				7
description			Siracae
unit				steppe infantry sauromatae arc aexsaeg
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile fistaegfataexsdzhytae
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe missile cavalry ragon sauromatae uaezdaettae

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     caucasians   - - -
;
rebel_type 			Khalybe	//Caucasians Egrisi
category			peasant_revolt
chance				7
description			Khalybe
unit				hellenistic infantry doryphoroi pontikoi
unit				steppe missile thanvare kavakaza
unit				steppe missile cavalry bydirag baexdzhyntae
unit				eastern cavalry aspet hetselazor

rebel_type 			Karthouli	//Caucasians Kartli
category			peasant_revolt
chance				8
description			Karthouli
unit                            eastern infantry georgian swordsmen
unit				eastern infantry kavakaza sparabara
unit				steppe missile cavalry bydirag baexdzhyntae
unit				eastern cavalry aspet hetselazor
unit				steppe missile thanvare kavakaza

rebel_type 			Gargar	//Caucasians Aghvan
category			peasant_revolt
chance				7
description			Gargar
unit				steppe missile cavalry bydirag baexdzhyntae
unit				hellenistic infantry pantodapoi
unit				eastern infantry kavakaza sparabara
unit				steppe missile thanvare kavakaza
unit				hellenistic infantry pantodapoi


rebel_type 			Albanians	//Caucasians
category			peasant_revolt
chance				0
description			Albanians
unit				hellenistic infantry pantodapoi
unit				steppe missile thanvare kavakaza
unit				hellenistic infantry pantodapoi
unit				hellenistic infantry pantodapoi
unit				steppe missile cavalry bydirag baexdzhyntae
unit				steppe missile cavalry bydirag baexdzhyntae

rebel_type 			Haikh_Sophene	//Caucasians Sophene
category			peasant_revolt
chance				8
description			Haikh_Sophene
unit                            eastern infantry georgian swordsmen
unit				eastern infantry hai nizagamartik
unit				eastern infantry hai nizagamartik
unit				eastern cavalry aspet hetselazor
unit				eastern skirmisher cavalry nizakahar ayrudzi

rebel_type 			Haikh_Pokr_Hayk	//Caucasians Pokr_Hayk
category			peasant_revolt
chance				0
description			Haikh_Pokr_Hayk
unit				eastern infantry hai nizagamartik
unit				eastern infantry kavakaza sparabara
unit				steppe missile thanvare kavakaza
unit				eastern cavalry aspet hetselazor
unit				eastern cavalry aspet hetselazor
unit				eastern skirmisher cavalry nizakahar ayrudzi
unit				eastern skirmisher cavalry nizakahar ayrudzi

rebel_type 			Haikh	//Caucasians Hayasdan
category			peasant_revolt
chance				8
description			Haikh
unit				eastern infantry hai nizagamartik
unit				eastern infantry kavakaza sparabara
unit				steppe missile thanvare kavakaza
unit				eastern skirmisher cavalry nizakahar ayrudzi
unit				eastern cavalry aspet hetselazor
unit				eastern cavalry aspet hetselazor

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     near east   - - -
;
rebel_type 			Tzanoi	//near east Pontos_Paralios
category			peasant_revolt
chance				7
description			Tzanoi
unit				greek skirmisher akontistai
unit				hellenistic infantry doryphoroi pontikoi
unit				greek missile sphendenotai
unit				eastern cavalry aspet hetselazor

rebel_type 			Paphlagone	//near east Paphlagonia
category			peasant_revolt
chance				5
description			Paphlagone
unit				hellenistic infantry pantodapoi
unit				eastern missile thanvare payahdag
unit				eastern missile thanvare payahdag
unit				steppe missile cavalry yancai uaezdaettae

rebel_type 			Alarodoi	//near east Adurbadagan
category			peasant_revolt
chance				5
description			Alarodoi
unit				eastern infantry nizag gund
unit				eastern infantry nizag gund
unit				eastern missile thanvare payahdag
unit				steppe missile cavalry bydirag baexdzhyntae

rebel_type 			Pontik	//near east Kappadokia_Pontika
category			peasant_revolt
chance				8
description			Pontik
unit				hellenistic infantry pantodapoi
unit				eastern missile thanvare payahdag
unit				eastern cavalry aspet hetselazor

rebel_type 			Kappadokoi	//near east Kappadokia
category			peasant_revolt
chance				5
description			Kappadokoi
unit				hellenistic infantry pantodapoi
unit				eastern missile thanvare payahdag
unit				eastern cavalry aspet hetselazor
unit				eastern cavalry aspet hetselazor

rebel_type 			Aramaye		//near east Syria_Koile
category			peasant_revolt
chance				3
description			Aramaye
unit				hellenistic infantry pantodapoi
unit				eastern missile thanvare payahdag
unit				eastern missile thanvare payahdag
unit				hellenistic infantry pantodapoi
unit				hellenistic infantry pantodapoi
unit				steppe missile cavalry bydirag baexdzhyntae

rebel_type 			Syroi		//near east Syria
category			peasant_revolt
chance				4
description			Syroi
unit				hellenistic infantry pantodapoi
unit				eastern missile thanvare payahdag
unit				hellenistic infantry pantodapoi
unit				hellenistic infantry pantodapoi
unit				steppe missile cavalry bydirag baexdzhyntae

rebel_type 			Babylonian		//near east Babylonia
category			peasant_revolt
chance				3
description			Babylonian
unit				eastern infantry nizag gund
unit				eastern missile thanvare payahdag
unit				eastern infantry nizag gund
unit				eastern skirmisher cavalry nizakahar ayrudzi

rebel_type 			Athuria		//near east Assyrie
category			peasant_revolt
chance				5
description			Athuria
unit				eastern infantry nizag gund
unit				eastern missile thanvare payahdag

rebel_type 			Hilakku	//near east Kilikia
category			peasant_revolt
chance				4
description			Hilakku
unit				hellenistic infantry iudaioi taxeis slave
unit				hellenistic infantry pantodapoi
unit				eastern missile thanvare payahdag

rebel_type 			Israelites	//near east Ioudaia
category			peasant_revolt
chance				8
description			Israelites
unit				eastern missile thanvare payahdag
unit				hellenistic infantry iudaioi taxeis slave
unit				hellenistic infantry iudaioi taxeis slave
unit				hellenistic infantry iudaioi taxeis slave
unit				hellenistic infantry iudaioi taxeis slave

rebel_type 			Chaldaioi		//near east Charax_Spasinou
category			peasant_revolt
chance				3
description			Chaldaioi
unit				eastern infantry nizag gund
unit				eastern missile thanvare payahdag
unit				eastern skirmisher cavalry nizakahar ayrudzi

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     iranians   - - -
;
rebel_type 			Mardoi		//Iranians Khoarene
category			peasant_revolt
chance				5
description			Mardoi
unit				eastern infantry nizag gund
unit				eastern missile thanvare payahdag
unit				eastern skirmisher cavalry nizakahar ayrudzi

rebel_type 			Mada		//Iranians Media
category			peasant_revolt
chance				5
description			Mada
unit				eastern missile eransahr arshtbara merc
unit				eastern missile thanvare payahdag
unit				eastern infantry nizag gund
unit				eastern missile eransahr arshtbara merc
unit				eastern skirmisher cavalry nizakahar ayrudzi

rebel_type 			Kardouchoi		//Iranians Adiabene
category			peasant_revolt
chance				5
description			Kardouchoi
unit				hellenistic infantry pantodapoi
unit				eastern missile thanvare payahdag
unit				eastern skirmisher cavalry nizakahar ayrudzi

rebel_type 			Uvarazmi		//Iranians Khwarazm
category			peasant_revolt
chance				7
description			Uvarazmi
unit				eastern infantry nizag gund
unit				eastern infantry nizag gund
unit				eastern missile thanvare payahdag
unit				steppe skirmisher cavalry daha rog baexdzhyn aefsad
unit				steppe missile cavalry daha baexdzhyntae

rebel_type 			Davan		//Iranians Dayuan
category			peasant_revolt
chance				7
description			Davan
unit				eastern missile eransahr arshtbara merc
unit				steppe missile cavalry daha baexdzhyntae
unit				eastern missile eransahr arshtbara merc

rebel_type 			Suguda		//Iranians Sogdiane
category			peasant_revolt
chance				9
description			Suguda
unit				steppe missile cavalry daha baexdzhyntae
unit				eastern missile eransahr arshtbara merc
unit				eastern missile eransahr arshtbara merc
unit				steppe missile cavalry daha baexdzhyntae

rebel_type 			Kang		//Iranians Kangha
category			peasant_revolt
chance				7
description			Kang
unit				eastern missile eransahr arshtbara merc
unit				eastern missile eransahr arshtbara merc
unit				steppe missile cavalry daha baexdzhyntae

rebel_type 			Haltamti	//Iranians Elymais
category			peasant_revolt
chance				4
description			Haltamti
unit				eastern infantry nizag gund
unit				eastern missile eransahr arshtbara merc
unit				eastern missile thanvare payahdag
unit				eastern skirmisher cavalry nizakahar ayrudzi
unit				eastern skirmisher cavalry nizakahar ayrudzi

rebel_type 			Margush	//Iranians Margiana
category			peasant_revolt
chance				7
description			Margush
unit				steppe missile cavalry daha baexdzhyntae
unit				eastern missile eransahr arshtbara merc
unit				eastern missile eransahr arshtbara merc
unit				steppe missile cavalry daha baexdzhyntae

rebel_type 			Varkana	//Iranians Hyrkania
category			peasant_revolt
chance				9
description			Varkana
unit				eastern infantry nizag gund
unit				eastern infantry nizag gund
unit				eastern infantry nizag gund
unit				eastern missile eransahr arshtbara merc
unit				eastern missile thanvare payahdag

rebel_type 			Zranka	//Iranians Drangiane
category			peasant_revolt
chance				5
description			Zranka
unit				eastern missile eransahr arshtbara merc
unit				eastern skirmisher cavalry harauvatish asabara
unit				eastern missile eransahr arshtbara merc
unit				eastern skirmisher cavalry harauvatish asabara

rebel_type 			Utian	//Iranians Gabiene
category			peasant_revolt
chance				5
description			Utian
unit				eastern missile thanvare payahdag

rebel_type 			Parsa	//Iranians Persis
category			peasant_revolt
chance				5
description			Parsa
unit				eastern infantry nizag gund
unit				eastern missile thanvare payahdag

rebel_type 			Karmana	//Iranians Karmania
category			peasant_revolt
chance				3
description			Karmana
unit				eastern skirmisher cavalry harauvatish asabara
unit				eastern skirmisher cavalry harauvatish asabara

rebel_type 			Mahi_khoran	//Iranians Gedrosia
category			peasant_revolt
chance				5
description			Mahi_khoran
unit				eastern missile indian longbowmen
unit				eastern missile thanvare payahdag
unit				eastern missile thanvare payahdag

rebel_type 			Haravautish	//Iranians Arachosia
category			peasant_revolt
chance				8
description			Haravautish
unit				eastern infantry nizag gund
unit				eastern missile eransahr arshtbara merc
unit				eastern missile indian longbowmen

rebel_type 			Baktrioi	//Greek-Iranian Baktria
category			peasant_revolt
chance				7
description			Baktrioi
unit				eastern missile eransahr arshtbara merc
unit				eastern missile eransahr arshtbara merc
unit				eastern infantry nizag gund
unit				steppe missile cavalry daha baexdzhyntae

rebel_type 			Uparisena	//Iranians Paropamisadai
category			peasant_revolt
chance				5
description			Uparisena
unit				eastern missile indian longbowmen
unit				eastern missile eransahr arshtbara merc
unit				eastern skirmisher cavalry harauvatish asabara

rebel_type 			Parthava	//Iranians Parthava
category			peasant_revolt
chance				7
description			Parthava
unit				eastern missile thanvare payahdag
unit				eastern infantry nizag gund
unit				steppe missile cavalry daha baexdzhyntae

rebel_type 			Daha	//Iranians Astauene
category			peasant_revolt
chance				7
description			Daha
unit				eastern missile eransahr arshtbara merc
unit				eastern infantry nizag gund
unit				steppe missile cavalry daha baexdzhyntae

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     india   - - -
;
rebel_type 			Sindhi	//India Sind
category			peasant_revolt
chance				3
description			Sindhi
unit                            eastern missile parasupattyasreni
unit                            eastern missile parasupattyasreni
unit				eastern missile indian longbowmen
unit				eastern missile indian longbowmen
unit				eastern missile indian longbowmen
unit				eastern infantry indian spearmen
unit				eastern infantry indian spearmen
unit				indian elephant standard
unit				indian elephant standard

rebel_type 			Moriya	//India Sattagydia
category			peasant_revolt
chance				4
description			Moriya
unit                            eastern missile parasupattyasreni
unit                            eastern missile parasupattyasreni
unit				eastern missile indian longbowmen
unit				eastern missile indian longbowmen
unit				eastern missile indian longbowmen
unit				eastern infantry indian spearmen
unit				eastern infantry indian spearmen
unit				eastern infantry indian spearmen
unit				indian elephant standard
unit				indian elephant standard

rebel_type 			Gandaran	//India Gandhara
category			peasant_revolt
chance				6
description			Gandaran
unit                            eastern missile parasupattyasreni
unit                            eastern missile parasupattyasreni
unit				eastern missile indian longbowmen
unit				eastern missile indian longbowmen
unit				eastern missile indian longbowmen
unit				eastern infantry indian spearmen
unit				eastern infantry indian spearmen
unit				eastern infantry indian spearmen
unit				indian elephant standard
unit				indian elephant standard

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     arabia   - - -
;
rebel_type 			Palmyrenoi	//arabs Tadmor
category			peasant_revolt
chance				7
description			Palmyrenoi
unit				arabian skirmisher tribal levies
unit				arabian missile cavalry tribal levies
unit				arabian missile arab slingers

rebel_type 			Maranitae	//arabs Sinai
category			peasant_revolt
chance				5
description			Maranitae
unit				arabian skirmisher tribal levies
unit				arabian skirmisher tribal levies

rebel_type 			Nabatu	//arabs Nabataia
category			peasant_revolt
chance				7
description			Nabatu
unit				arabian infantry redsea axemen
unit				arabian skirmisher tribal levies
unit				arabian missile cavalry tribal levies

rebel_type 			Minaei		//Arabs Main
category			peasant_revolt
chance				6
description			Minaei
unit				arabian infantry redsea axemen
unit				arabian missile cavalry tribal levies
unit				arabian skirmisher tribal levies
unit				arabian missile arab slingers

rebel_type 			Sabaei		//Arabs Saba
category			peasant_revolt
chance				7
description			Sabaei
unit				arabian infantry redsea axemen
unit				arabian missile cavalry tribal levies
unit				arabian missile cavalry tribal levies
unit				arabian skirmisher tribal levies
unit				arabian missile arab slingers
unit				arabian cavalry saba citizen cavalry

rebel_type 			Amm		//Arabs Qataban
category			peasant_revolt
chance				7
description			Amm
unit				arabian infantry redsea axemen
unit				arabian missile cavalry tribal levies
unit				arabian missile cavalry tribal levies
unit				arabian skirmisher tribal levies
unit				arabian missile arab slingers
unit				arabian cavalry saba citizen cavalry

rebel_type 			Chatramotitae		//Arabs Hadramaut
category			peasant_revolt
chance				9
description			Chatramotitae
unit				arabian skirmisher tribal levies
unit				arabian missile arab slingers

rebel_type 			Maka_Zufar		//Arabs Zufar
category			peasant_revolt
chance				8
description			Maka_Zufar
unit				arabian missile cavalry tribal levies
unit				arabian missile cavalry tribal levies

rebel_type 			Maka_Maketa		//Arabs Maketa
category			peasant_revolt
chance				8
description			Maka_Maketa
unit				arabian skirmisher tribal levies
unit				arabian missile arab slingers

rebel_type 			Hagara		//Arabs Gerrhaia_Arabia
category			peasant_revolt
chance				7
description			Hagara
unit				arabian missile cavalry tribal levies
unit				arabian missile cavalry tribal levies

rebel_type 			Aribi		//Arabs Arabia
category			peasant_revolt
chance				8
description			Aribi
unit				arabian missile cavalry tribal levies
unit				arabian missile cavalry tribal levies

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     east africa   - - -
;
rebel_type 			Imazighen		//east africa Sahara
category			peasant_revolt
chance				8
description			Imazighen
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Marmaridai		//east africa Marmarike
category			peasant_revolt
chance				5
description			Marmaridai
unit				greek missile sphendenotai
unit				greek skirmisher akontistai
unit				hellenistic cavalry machimoi hippeis

rebel_type 			Libyes		//east africa Libye
category			peasant_revolt
chance				3
description			Libyes
unit				greek missile sphendenotai
unit				greek skirmisher akontistai
unit				hellenistic cavalry machimoi hippeis

rebel_type 			Kyrenaioi		//east africa Kyrenaia
category			peasant_revolt
chance				5
description			Kyrenaioi
unit				greek missile sphendenotai
unit				greek infantry taxeis hoplitai
unit				greek infantry taxeis hoplitai

rebel_type 			Aigyptioi_Thebais		//east africa Thebais
category			peasant_revolt
chance				4
description			Aigyptioi_Thebais
unit				greek missile toxotai
unit				greek skirmisher akontistai
unit				greek skirmisher akontistai
unit				hellenistic infantry machimoi phalangitai
unit				hellenistic infantry machimoi phalangitai
unit				hellenistic cavalry machimoi hippeis

rebel_type 			Aigyptioi_Oasis_Megale		//east africa Oasis_Megale
category			peasant_revolt
chance				5
description			Aigyptioi_Oasis_Megale
unit				greek missile toxotai
unit				greek skirmisher akontistai
unit				hellenistic cavalry machimoi hippeis

rebel_type 			Aigyptioi		//east africa Heptanomis
category			peasant_revolt
chance				3
description			Aigyptioi
unit				greek missile toxotai
unit				greek skirmisher akontistai
unit				greek skirmisher akontistai
unit				hellenistic infantry machimoi phalangitai
unit				hellenistic infantry machimoi phalangitai
unit				hellenistic cavalry machimoi hippeis

rebel_type 			Aigyptioi_Triakontaschoinos		//east africa Triakontaschoinos
category			peasant_revolt
chance				5
description			Aigyptioi_Triakontaschoinos
unit				african infantry nubian spearmen rebel
unit				african infantry nubian spearmen rebel
unit				african infantry nubian spearmen rebel
unit				african infantry nubian spearmen rebel
unit				african infantry nubian spearmen rebel
unit				african elephant forest

rebel_type 			Kasu		//east africa Kush
category			peasant_revolt
chance				7
description			Kasu
unit				african infantry nubian spearmen rebel
unit				african infantry nubian spearmen rebel
unit				african infantry nubian spearmen rebel
unit				african infantry nubian spearmen rebel
unit				african infantry nubian spearmen rebel
unit				african elephant forest

rebel_type 			Agazyan		//east africa Diamat
category			peasant_revolt
chance				6
description			Agazyan
unit				arabian infantry ethiopian spearmen
unit				arabian infantry ethiopian spearmen
unit				arabian infantry redsea axemen
unit				african elephant bush

rebel_type 			Tibu		//east africa
category			peasant_revolt
chance				0
description			Tibu
unit				arabian infantry ethiopian spearmen
unit				arabian infantry ethiopian spearmen
unit				arabian infantry ethiopian spearmen
unit				arabian infantry ethiopian spearmen
unit				arabian infantry redsea axemen

rebel_type 			Beja		//east africa Erythraia
category			peasant_revolt
chance				7
description			Beja
unit				arabian infantry ethiopian spearmen
unit				arabian infantry redsea axemen
unit				african elephant bush

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     berbers   - - -
;
rebel_type 			Tingitana		//berbers Mauretania_Tingitana
category			peasant_revolt
chance				7
description			Tingitana
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african elephant forest
unit				african cavalry numidian nobles

rebel_type 			Masaesyli		//berbers Mauretania_Massaesili
category			peasant_revolt
chance				7
description			Masaesyli
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Gaetulian		//berbers Gaetulia
category			peasant_revolt
chance				9
description			Gaetulian
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african elephant forest
unit				african cavalry numidian nobles

rebel_type 			Pharusii		//berbers
category			peasant_revolt
chance				3
description			Pharusii
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Numidae		//berbers Numidia
category			peasant_revolt
chance				7
description			Numidae
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Masylian		//berbers Mashiliem
category			peasant_revolt
chance				7
description			Masylian
unit				african skirmisher javelinmen
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Garamante		//berbers Phasania
category			peasant_revolt
chance				7
description			Garamante
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Maurisi		//Britons Mauretania
category			peasant_revolt
chance				7
description			Maurisi
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african elephant forest
unit				african cavalry numidian nobles

rebel_type 			Nasamone		//berbers Cydamae
category			peasant_revolt
chance				8
description			Nasamone
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Tamasheq		//berbers
category			peasant_revolt
chance				3
description			Tamasheq
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Marmaridae		//berbers Augila
category			peasant_revolt
chance				8
description			Marmaridae
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

rebel_type 			Melanogaetuli		//berbers
category			peasant_revolt
chance				3
description			Melanogaetuli
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african skirmisher javelinmen
unit				african missile cavalry numidian
unit				african cavalry numidian nobles

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     carthage   - - -
;
rebel_type 			Iberians	//iberians and carthaginians Turdulia
category			peasant_revolt
chance				3
description			Iberians
unit				iberian skirmisher iovamann
unit				iberian skirmisher iovamann
unit				iberian infantry caetranann
unit				iberian infantry caetranann
unit				iberian infantry gestikapoinann
unit				iberian infantry gestikapoinann
unit				iberian cavalry ambakaro epones
unit				iberian cavalry generals bodyguard

rebel_type 			Turdetani	//iberians and carthaginians Turdetania
category			peasant_revolt
chance				3
description			Turdetani
unit				carthaginian infantry mishteret izrahim feenikim rebel
unit				iberian infantry light caetratii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian skirmisher cavalry equites caetratii
unit				iberian cavalry generals bodyguard

rebel_type 			Vettoni	//iberians and carthaginians Lusitania
category			peasant_revolt
chance				7
description			Vettoni
unit				iberian skirmisher iovamann
unit				iberian skirmisher iovamann
unit				iberian infantry caetranann
unit				iberian infantry caetranann
unit				iberian infantry gestikapoinann
unit				iberian infantry gestikapoinann
unit				iberian cavalry ambakaro epones
unit				iberian cavalry generals bodyguard

rebel_type 			Lacetani	//iberians and carthaginians Lacetania
category			peasant_revolt
chance				4
description			Lacetani
unit				iberian infantry light caetratii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian skirmisher cavalry equites caetratii
unit				iberian cavalry generals bodyguard

rebel_type 			Gallaeci	//iberians and carthaginians Galaecia
category			peasant_revolt
chance				7
description			Gallaeci
unit				iberian infantry light caetratii
unit				iberian cavalry light curisii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian cavalry generals bodyguard

rebel_type 			Edetani	//iberians and carthaginians Edetania
category			peasant_revolt
chance				3
description			Edetani
unit				iberian infantry light caetratii
unit				iberian cavalry light curisii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian skirmisher cavalry equites caetratii
unit				iberian cavalry generals bodyguard

rebel_type 			Arevaci	//iberians and carthaginians Celtiberia
category			peasant_revolt
chance				7
description			Arevaci
unit				iberian infantry light caetratii
unit				iberian infantry light caetratii
unit				iberian cavalry light curisii
unit				iberian infantry medium scutarii
unit				iberian skirmisher cavalry equites caetratii
unit				iberian cavalry generals bodyguard

rebel_type 			Carpetani	//iberians and carthaginians Carpetania
category			peasant_revolt
chance				3
description			Carpetani
unit				iberian infantry light caetratii
unit				iberian infantry light caetratii
unit				iberian infantry medium scutarii
unit				iberian infantry medium scutarii
unit				iberian cavalry generals bodyguard

rebel_type 			Cantabri	//iberians and carthaginians Cantabrias
category			peasant_revolt
chance				7
